"MONTH","ORIGIN_AIRPORT_ID","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR",
1,11433,"Detroit, MI","MI",
1,12264,"Washington, DC","VA",
1,13487,"Minneapolis, MN","MN",
1,10599,"Birmingham, AL","AL",
1,13487,"Minneapolis, MN","MN",
1,12156,"Helena, MT","MT",
1,14869,"Salt Lake City, UT","UT",
1,12953,"New York, NY","NY",
1,14524,"Richmond, VA","VA",
1,14869,"Salt Lake City, UT","UT",
1,12953,"New York, NY","NY",
1,12953,"New York, NY","NY",
1,12156,"Helena, MT","MT",
1,14869,"Salt Lake City, UT","UT",
1,11433,"Detroit, MI","MI",
1,11057,"Charlotte, NC","NC",
1,11433,"Detroit, MI","MI",
1,13296,"Manchester, NH","NH",
1,10627,"Bismarck/Mandan, ND","ND",
1,11433,"Detroit, MI","MI",
1,13029,"Lincoln, NE","NE",
1,13487,"Minneapolis, MN","MN",
1,13487,"Minneapolis, MN","MN",
1,11267,"Dayton, OH","OH",
1,11433,"Detroit, MI","MI",
1,13029,"Lincoln, NE","NE",
1,13487,"Minneapolis, MN","MN",
1,13487,"Minneapolis, MN","MN",
1,13851,"Oklahoma City, OK","OK",
1,11193,"Cincinnati, OH","KY",
1,11433,"Detroit, MI","MI",
1,12266,"Houston, TX","TX",
1,10620,"Billings, MT","MT",
1,14869,"Salt Lake City, UT","UT",
1,11267,"Dayton, OH","OH",
1,10627,"Bismarck/Mandan, ND","ND",
1,13487,"Minneapolis, MN","MN",
1,11433,"Detroit, MI","MI",
1,13931,"Norfolk, VA","VA",
1,12266,"Houston, TX","TX",
1,10627,"Bismarck/Mandan, ND","ND",
1,13487,"Minneapolis, MN","MN",
1,11267,"Dayton, OH","OH",
1,13487,"Minneapolis, MN","MN",
1,11433,"Detroit, MI","MI",
1,11433,"Detroit, MI","MI",
1,12266,"Houston, TX","TX",
1,13487,"Minneapolis, MN","MN",
1,13487,"Minneapolis, MN","MN",
1,11267,"Dayton, OH","OH",
1,13184,"Saginaw/Bay City/Midland, MI","MI",
1,13487,"Minneapolis, MN","MN",
1,13871,"Omaha, NE","NE",
1,12953,"New York, NY","NY",
1,11193,"Cincinnati, OH","KY",
1,11433,"Detroit, MI","MI",
1,12266,"Houston, TX","TX",
1,13029,"Lincoln, NE","NE",
1,13485,"Madison, WI","WI",
1,12954,"Long Beach, CA","CA",
1,14869,"Salt Lake City, UT","UT",
1,12953,"New York, NY","NY",
1,10620,"Billings, MT","MT",
1,13487,"Minneapolis, MN","MN",
1,11433,"Detroit, MI","MI",
1,12953,"New York, NY","NY",
1,10397,"Atlanta, GA","GA",
1,10397,"Atlanta, GA","GA",
1,10693,"Nashville, TN","TN",
1,11292,"Denver, CO","CO",
1,14869,"Salt Lake City, UT","UT",
1,13487,"Minneapolis, MN","MN",
1,11292,"Denver, CO","CO",
1,14869,"Salt Lake City, UT","UT",
1,11433,"Detroit, MI","MI",
1,12280,"Idaho Falls, ID","ID",
1,12478,"New York, NY","NY",
1,13277,"Montgomery, AL","AL",
1,10397,"Atlanta, GA","GA",
1,13277,"Montgomery, AL","AL",
1,10721,"Boston, MA","MA",
1,14730,"Louisville, KY","KY",
1,10397,"Atlanta, GA","GA",
1,10693,"Nashville, TN","TN",
1,12278,"Wichita, KS","KS",
1,13487,"Minneapolis, MN","MN",
1,14122,"Pittsburgh, PA","PA",
1,10693,"Nashville, TN","TN",
1,11298,"Dallas/Fort Worth, TX","TX",
1,11433,"Detroit, MI","MI",
1,10693,"Nashville, TN","TN",
1,12478,"New York, NY","NY",
1,11298,"Dallas/Fort Worth, TX","TX",
1,12478,"New York, NY","NY",
1,13277,"Montgomery, AL","AL",
1,10693,"Nashville, TN","TN",
1,11433,"Detroit, MI","MI",
1,11433,"Detroit, MI","MI",
1,14696,"South Bend, IN","IN",
1,11433,"Detroit, MI","MI",
1,12266,"Houston, TX","TX",
1,14869,"Salt Lake City, UT","UT",
1,10693,"Nashville, TN","TN",
1,11433,"Detroit, MI","MI",
1,12278,"Wichita, KS","KS",
1,11433,"Detroit, MI","MI",
1,14869,"Salt Lake City, UT","UT",
1,10627,"Bismarck/Mandan, ND","ND",
1,13487,"Minneapolis, MN","MN",
1,13487,"Minneapolis, MN","MN",
1,13487,"Minneapolis, MN","MN",
1,10693,"Nashville, TN","TN",
1,12953,"New York, NY","NY",
1,11298,"Dallas/Fort Worth, TX","TX",
1,12339,"Indianapolis, IN","IN",
1,13487,"Minneapolis, MN","MN",
1,10397,"Atlanta, GA","GA",
1,12953,"New York, NY","NY",
1,12953,"New York, NY","NY",
1,12889,"Las Vegas, NV","NV",
1,12953,"New York, NY","NY",
1,12953,"New York, NY","NY",
1,13377,"Monroe, LA","LA",
1,10397,"Atlanta, GA","GA",
1,13422,"Mobile, AL","AL",
1,10713,"Boise, ID","ID",
1,10397,"Atlanta, GA","GA",
1,13422,"Mobile, AL","AL",
1,12892,"Los Angeles, CA","CA",
1,10693,"Nashville, TN","TN",
1,13487,"Minneapolis, MN","MN",
1,11433,"Detroit, MI","MI",
1,12339,"Indianapolis, IN","IN",
1,13487,"Minneapolis, MN","MN",
1,13487,"Minneapolis, MN","MN",
1,10397,"Atlanta, GA","GA",
1,13422,"Mobile, AL","AL",
1,11337,"Duluth, MN","MN",
1,13487,"Minneapolis, MN","MN",
1,15380,"Traverse City, MI","MI",
1,11298,"Dallas/Fort Worth, TX","TX",
1,11433,"Detroit, MI","MI",
1,12280,"Idaho Falls, ID","ID",
1,14869,"Salt Lake City, UT","UT",
1,12953,"New York, NY","NY",
1,10397,"Atlanta, GA","GA",
1,13377,"Monroe, LA","LA",
1,11298,"Dallas/Fort Worth, TX","TX",
1,12953,"New York, NY","NY",
1,14696,"South Bend, IN","IN",
1,14869,"Salt Lake City, UT","UT",
1,11433,"Detroit, MI","MI",
1,12280,"Idaho Falls, ID","ID",
1,14869,"Salt Lake City, UT","UT",
1,11298,"Dallas/Fort Worth, TX","TX",
1,12889,"Las Vegas, NV","NV",
1,12280,"Idaho Falls, ID","ID",
1,14869,"Salt Lake City, UT","UT",
1,10397,"Atlanta, GA","GA",
1,13377,"Monroe, LA","LA",
1,10693,"Nashville, TN","TN",
1,10397,"Atlanta, GA","GA",
1,13377,"Monroe, LA","LA",
1,10146,"Albany, GA","GA",
1,10397,"Atlanta, GA","GA",
1,14869,"Salt Lake City, UT","UT",
1,15016,"St. Louis, MO","MO",
1,11423,"Des Moines, IA","IA",
1,10146,"Albany, GA","GA",
1,10397,"Atlanta, GA","GA",
1,10713,"Boise, ID","ID",
1,11540,"El Paso, TX","TX",
1,14869,"Salt Lake City, UT","UT",
1,10713,"Boise, ID","ID",
1,11337,"Duluth, MN","MN",
1,13487,"Minneapolis, MN","MN",
1,13487,"Minneapolis, MN","MN",
1,10397,"Atlanta, GA","GA",
1,14108,"Peoria, IL","IL",
1,14747,"Seattle, WA","WA",
1,10257,"Albany, NY","NY",
1,11433,"Detroit, MI","MI",
1,10397,"Atlanta, GA","GA",
1,14108,"Peoria, IL","IL",
1,13487,"Minneapolis, MN","MN",
1,11433,"Detroit, MI","MI",
1,11577,"Erie, PA","PA",
1,14747,"Seattle, WA","WA",
